"name","brand","os","cpu_cores","cpu_threads","gpu_vram","ram_capacity","ram_ddr_type","hdd","ssd","screen_size","screen_res","touchscreen","user_rating","price","cpu","gpu"
"hp 15-fd0575tu laptop (13th gen core i5/ 12gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","12.0","ddr4","0","512","15.6","HD+","0","4.5","61990.0","intel core i5 1334u","intel integrated"
"hp 15-fd0573tu laptop (13th gen core i3/ 12gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","12.0","ddr4","0","512","15.6","HD+","0","4.7","41490.0","intel core i3 1315u","intel integrated"
"hp 15-fd1253tu laptop (intel core 3 100u/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.25","38990.0","intel core 3 100u","intel integrated"
"hp elitebook 645 g9 laptop (amd ryzen 5 5675u/ 8gb ram/ 512gb ssd/ win 11)","hp","windows","6.0","12.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.1","53990.0","amd ryzen 5 5675u","amd integrated"
"hp omen 16-wf0262tx gaming laptop (13th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.35","137990.0","intel core i7 13700hx","nvidia geforce rtx 4070"
"hp 14-gr0002tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","14.0","HD+","0","4.2","59990.0","intel core i5 1335u","intel integrated"
"hp victus 15-fb3011ax gaming laptop (amd ryzen 5 5600h/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","6.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.35","69990.0","amd ryzen 5 5600h","nvidia geforce rtx 3050"
"hp victus 15-fa2701tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx 4050)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.3","85360.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 240 g10 b10lwpt business laptop (13th gen core i5/ 16gb/ 512gb ssd/ dos)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","14.0","HD+","0","4.55","58200.0","intel core i5 1335u","intel integrated"
"hp omnibook 7 aero 13-bg1678au next gen ai  laptop (amd ryzen 5/ 16gb/ 512gb ssd/ win11)","hp","windows","6.0","12.0","0.0","16.0","ddr5","0","512","13.3","3K+","1","4.05","87499.0","amd ryzen ai 5 340","amd integrated"
"hp omnibook x flip 14-fm0029tu next gen ai laptop (intel core ultra 7/ 32gb ram/ 1tb ssd/ win 11)","hp","windows","8.0","8.0","0.0","32.0","ddr5","0","1024","14.0","3K+","1","4.2","138990.0","intel core ultra 7 series 2 258v","intel integrated"
"hp omnibook x flip 14-fm0026tu next gen ai pc laptop (intel core ultra 7/ 16gb ram/ 512gb ssd/ win 11)","hp","windows","8.0","8.0","0.0","16.0","ddr5","0","512","14.0","3K+","1","4.4","120990.0","intel core ultra 7 series 2 256v","intel integrated"
